"version","direction","valid","invalid_reason","result","damaging_hits","bullets","hit_rate","arrival_lock","arrival_final_error_deg","retained_bias_deg","centered_from_drive","drive_samples","drive_mean_target_error_deg","drive_final_target_error_deg","log_file"
"v4i","positive","True","valid","PARTIAL","23","30","0.767","true","0.2",,,"24","25.3","0.2","logs/drive_aim_v4i_ai_window10_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_154757.log"
"v4i","positive","False","startup takeover gate never passed",,,,,"false","30.7",,,"25","23.4","30.7","logs/drive_aim_v4i_ai_window10_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_154856.log"
"v4i","positive","True","valid","PARTIAL","22","30","0.733","true","0.5",,,"24","23.2","0.5","logs/drive_aim_v4i_ai_window10_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_155005.log"
"v4i","positive","True","valid","PARTIAL","23","30","0.767","true","1.5",,,"21","14.4","1.5","logs/drive_aim_v4i_ai_window10_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_155110.log"
"v4j","positive","True","valid","PARTIAL","20","30","0.667","true","0.2",,,"22","19.1","0.2","logs/drive_aim_v4j_powered_reclaim_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_155316.log"
"v4j","positive","True","valid","PARTIAL","17","30","0.567","true","0",,,"22","19.6","0","logs/drive_aim_v4j_powered_reclaim_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_155410.log"
"v4j","positive","False","startup takeover gate never passed",,,,,"false","4.9",,,"21","30.9","4.9","logs/drive_aim_v4j_powered_reclaim_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_155506.log"
"v4j","positive","True","valid","PARTIAL","17","30","0.567","true","0.3",,,"25","18.9","0.3","logs/drive_aim_v4j_powered_reclaim_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_155610.log"
"v4j","positive","False","startup takeover gate never passed",,,,,"false","4.9",,,"20","29.2","4.9","logs/drive_aim_v4j_powered_reclaim_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_155707.log"
"v4k","negative","False","startup takeover gate never passed",,,,,"true","1.5",,,"22","21","1.5","logs/drive_aim_v4k_integral_bias_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_161028.log"
"v4k","negative","True","valid","PARTIAL","22","30","0.733","true","0.3",,,"23","20.3","0.3","logs/drive_aim_v4k_integral_bias_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_161124.log"
"v4k","negative","True","valid","PARTIAL","24","30","0.8","true","0.5",,,"24","20.1","0.5","logs/drive_aim_v4k_integral_bias_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_161220.log"
"v4k","positive","True","valid","PARTIAL","25","30","0.833","true","1.2",,,"21","30.4","1.2","logs/drive_aim_v4k_integral_bias_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_160402.log"
"v4k","positive","True","valid","PARTIAL","23","30","0.767","true","0.3",,,"24","30.5","0.3","logs/drive_aim_v4k_integral_bias_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_160456.log"
"v4k","positive","True","valid","PARTIAL","17","30","0.567","true","1.5",,,"25","30.8","1.5","logs/drive_aim_v4k_integral_bias_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_160552.log"
